Comment,Llama3.1 Not Fine Tuned output
What the hell were some of the goalies and defenders doing? . And #2 hand of god is wild,Against
What the hell were some of the goalies and defenders doing? . And #2 hand of god is wild,Against
CR nd LM behind DM surely,Against
CR nd LM behind DM surely,Against
Okay but defenders were so much worse back then... most of those goals would never happen in today's football,Against
Okay but defenders were so much worse back then... most of those goals would never happen in today's football,Against
Are you sure #7 is Maradona. Looks like Romario to me,Against
Are you sure #7 is Maradona. Looks like Romario to me,Against
No one like Mardona,Against
No one like Mardona,Against
You will never be able to pick one between Maradona and Messi,Against
You will never be able to pick one between Maradona and Messi,Against
Most of them are keeper s fault. Nothing special,Neutral
Most of them are keeper s fault. Nothing special,Neutral
Messi is the greatest,Favor
Messi is the greatest,Favor
The best football player I loved in my childhood,Against
The best football player I loved in my childhood,Favor
I was born in 1977 and I saw what Dieguito did in 1986 in Fifa Cup! It was magic! He gained that tournement alone! He was The King of Mxico! Only Pel was better but I didn't in 1970! Dieguito I saw him! It's honor to me to see him to play! Some people Tell that Messi is better! KKK! Dieguito is a argentino god! God bless you Dieguito!,Favor
I was born in 1977 and I saw what Dieguito did in 1986 in Fifa Cup! It was magic! He gained that tournement alone! He was The King of Mxico! Only Pel was better but I didn't in 1970! Dieguito I saw him! It's honor to me to see him to play! Some people Tell that Messi is better! KKK! Dieguito is a argentino god! God bless you Dieguito!,Favor
The best ever IMO. Shame you had to go looking for comments (and here I am) with number 2,Favor
The best ever IMO. Shame you had to go looking for comments (and here I am) with number 2,Favor
Goalies were absolute garbage,Against
Goalies were absolute garbage,Against
very good Diego,Favor
very good Diego,Favor
Immense control on the Ball..Magical Control,Favor
Immense control on the Ball..Magical Control,Favor
"NUMBER 3 ITS A HAND ""GOAL"" AND SHOULDNT BE ADMIT !",Against
"NUMBER 3 ITS A HAND ""GOAL"" AND SHOULDNT BE ADMIT !",Against
Greatest alien in history,Against
Greatest alien in history,Against
"Not only hand, but also offside!That's not a football player, but a sports jerk.",Against
"Not only hand, but also offside!That's not a football player, but a sports jerk.",Against
Lot of bad keepers too.,Against
Lot of bad keepers too.,Against
"Wow, I wasn't very good, but I'm glad I played soccer in school, so I could appreciate this more.",Neutral
"Wow, I wasn't very good, but I'm glad I played soccer in school, so I could appreciate this more.",Neutral
How can you put that handball in as one of his greatest goals .. ridiculous,Against
How can you put that handball in as one of his greatest goals .. ridiculous,Against
Maradona super super super super super super,Favor
Maradona super super super super super super,Favor
How can a stolen goal be in a list like that ?,Against
How can a stolen goal be in a list like that ?,Against
Why do they say Messi is better than him? Maradona had way more ammunition,Against
Why do they say Messi is better than him? Maradona had way more ammunition,Against
The most legendary of them all - HAND OF GOD - ;only ranks number 3 here WTF?,Against
The most legendary of them all - HAND OF GOD - ;only ranks number 3 here WTF?,Against
The greatest player in history,Favor
The greatest player in history,Favor
The greatest player in history,Favor
The greatest player in history,Favor
In which mental institution do they make such music?,Against
In which mental institution do they make such music?,Against
"Maradone played in the era when ball are more heavy (fifa change standard of weight only after he retired), at that time the defender was ""killer"", if Maradona play in our era with the last ball and referee protection he can finish every season with 60 goals. No Messi no others at his level",Favor
"Maradone played in the era when ball are more heavy (fifa change standard of weight only after he retired), at that time the defender was ""killer"", if Maradona play in our era with the last ball and referee protection he can finish every season with 60 goals. No Messi no others at his level",Favor
"This is not football,its poetry in motion,its as though he,s controlled dy a computer,theyll talk about him forever",Favor
"This is not football,its poetry in motion,its as though he,s controlled dy a computer,theyll talk about him forever",Favor
"The most legendary goal, when he cheated by setting the ball up with his hand before heading it in the net, with the goal keeper waiting for a whistle that never came, and Maradona took the goal. Legendary indeed!",Against
"The most legendary goal, when he cheated by setting the ball up with his hand before heading it in the net, with the goal keeper waiting for a whistle that never came, and Maradona took the goal. Legendary indeed!",Against
He was showman.,Against
He was showman.,Favor
His 'goal of the century' is so good it occupies the number one and number two positions.,Favor
His 'goal of the century' is so good it occupies the number one and number two positions.,Favor
The magic man,Neutral
The magic man,Neutral
Hand(ball) of God,Against
Hand(ball) of God,Against
"It's just a pity that he'll always be remembered for the ""Hand of God"" goal against England.",Against
"It's just a pity that he'll always be remembered for the ""Hand of God"" goal against England.",Against
He had no right foot. Impressive player though,Neutral
He had no right foot. Impressive player though,Neutral
You cant Never compare this player to Messi,Against
You cant Never compare this player to Messi,Against
video quality is eye straining . pl avoid,Against
video quality is eye straining . pl avoid,Against
So much energy. He liked a Coke at half time. I think it was the caffein that kept him going.,Neutral
So much energy. He liked a Coke at half time. I think it was the caffein that kept him going.,Neutral
THE REAL GOAT,Favor
THE REAL GOAT,Favor
"Just because Maradona did it easily, it is not right to say that Messi can do it too.",Against
Brilliant skills. Hideous choice of music,Against
Brilliant skills. Hideous choice of music,Against
Number 14. What technique,Neutral
Number 14. What technique,Neutral
I'm young and I didn't watched Maradona but my father when we talk about football always tells me about Diego,Neutral
I'm young and I didn't watched Maradona but my father when we talk about football always tells me about Diego,Neutral
"Messi is master of football, Maradona great of his times but not even near to Messi",Favor
"Messi is master of football, Maradona great of his times but not even near to Messi",Favor
"Watching it from India and it's mango season ,can smell sweet smell while watching this magic ,God knows how the senses work when we see a ultimate piece of art",Favor
"Watching it from India and it's mango season ,can smell sweet smell while watching this magic ,God knows how the senses work when we see a ultimate piece of art",Favor
"Maybe Pele have more World Cup than him, Maybe Messi have more trophies than him and Maybe CR7 have more goals than him, Maybe Cruyff have more assists than him but trust me there is something divinely special in him which no other can have like him.",Neutral
"Maybe Pele have more World Cup than him, Maybe Messi have more trophies than him and Maybe CR7 have more goals than him, Maybe Cruyff have more assists than him but trust me there is something divinely special in him which no other can have like him.",Neutral
Is there no number 2 because he wasn't sh*t?,Against
Is there no number 2 because he wasn't sh*t?,Against
The crowd loved him because he knew how to offer spectacle.,Favor
The crowd loved him because he knew how to offer spectacle.,Favor
Back when football players were playing with their heart for the crowd and not just only for the $$$. Miss those times!,Against
Thumbnail is not present in the video. Downvoted.,Against
Thumbnail is not present in the video. Downvoted.,Against
But was he as good as Robbie Savage?,Against
But was he as good as Robbie Savage?,Against
Num 3 was handball,Against
Num 3 was handball,Against
Best footballer ever,Favor
Best footballer ever,Favor
Interestingly every goal was off his left foot. Surprised its seems he cant bat from both sides of the plate so to speak.,Against
Interestingly every goal was off his left foot. Surprised its seems he cant bat from both sides of the plate so to speak.,Against
"An absolute genius with a football. The skill, the swagger, the sheer audacity in which he scored some of the best goals the world has ever seen. I remember that day in '86, watching that game, that last goal against England, for me, the finest goal of all time. RIP Diego.",Favor
"An absolute genius with a football. The skill, the swagger, the sheer audacity in which he scored some of the best goals the world has ever seen. I remember that day in '86, watching that game, that last goal against England, for me, the finest goal of all time. RIP Diego.",Favor
"That No1 was the most incredible goal I've ever seen, it's like the England team where in slow motion as Diego sublimely weaved in and out to score that magnificent goal, the greatest who ever did it imho.",Favor
"That No1 was the most incredible goal I've ever seen, it's like the England team where in slow motion as Diego sublimely weaved in and out to score that magnificent goal, the greatest who ever did it imho.",Favor
Its almost like you guys have never seen Lawrence Shankland. He can kick with both feet.,Favor
Its almost like you guys have never seen Lawrence Shankland. He can kick with both feet.,Favor
Where did number 2 go?,Irrelevant
Where did number 2 go?,Irrelevant
"His life, his addictions, the hand of god, the other goal, life is life, the banning, that mental celebration. The maradona keep ups (stand in the same spot and hit it up as hard as you can and keep doing it not taking any more than one or two steps) him winning the world cup and doing the offormentioned goals against the country his was at war with a few years earlier, him dragging napoli to a scudetto. You can argue you all you want about other players just based on ability but for pure madness, skill, scandal he's the greatest of all time for me and I'm English albeit not a very patriotic. The same reason why Cantona will always be my favourite United player its not just football its the arc. It's folklore, its a soap opera that you'll never tire of revisiting. When you're old, on your last days on earth and football fanatic you'll rewatch it I guarantee",Favor
"His life, his addictions, the hand of god, the other goal, life is life, the banning, that mental celebration. The maradona keep ups (stand in the same spot and hit it up as hard as you can and keep doing it not taking any more than one or two steps) him winning the world cup and doing the offormentioned goals against the country his was at war with a few years earlier, him dragging napoli to a scudetto. You can argue you all you want about other players just based on ability but for pure madness, skill, scandal he's the greatest of all time for me and I'm English albeit not a very patriotic. The same reason why Cantona will always be my favourite United player its not just football its the arc. It's folklore, its a soap opera that you'll never tire of revisiting. When you're old, on your last days on earth and football fanatic you'll rewatch it I guarantee",Favor
The real goat,Favor
The real goat,Favor
#2 is hand ball. He was the Best.,Favor
#2 is hand ball. He was the Best.,Favor
He did play against players who wouldnt even make the bench of 5th division teams today.,Against
He did play against players who wouldnt even make the bench of 5th division teams today.,Against
Maybe its just this vidoe but i was expecting to be blown away. Maybe ill watch his skill videos,Neutral
Maybe its just this vidoe but i was expecting to be blown away. Maybe ill watch his skill videos,Neutral
The Best ever im Sorry Messi,Favor
The Best ever im Sorry Messi,Favor
Number 14 and 11 should be within top 5.,Favor
Number 14 and 11 should be within top 5.,Favor
Where is #1?,Irrelevant
Where is #1?,Irrelevant
Thumb down for thinking no3 is even a goal!,Against
Thumb down for thinking no3 is even a goal!,Against
"Maybe because I grew up with this man as a football god, but to me he's still the most legendary player ever. Ahead of Pel and obviously any current footballer.",Favor
"Maybe because I grew up with this man as a football god, but to me he's still the most legendary player ever. Ahead of Pel and obviously any current footballer.",Favor
Watch a video of Messi goals and passes and a video of Diego goals and passes youll notice that Diego s will enchant you with his variety he not only scored the greatest goal in World Cup history also in seria A history against Juventus with an impossible free kick inside the box also scored ground level headers long range goals vs Verona and Lazio from corner kick his own half solo goals passing the greatest defenders in history Before you compare Messi to Diego do your own home work Im Italian and I grew up watching his magic and I heard people like Maldini Junior Baresi Ferri Bergomi Dunga saying all the same things : you just cant stop him hell find a way to go past you !!!D10S Ive achieved my lifetime dream to see his childhood house in villa fiorito BA a poor barrio but full of beautiful people I also went to his first house he bought as pro near Argentina junior stadium Diego forever,Against
Watch a video of Messi goals and passes and a video of Diego goals and passes youll notice that Diego s will enchant you with his variety he not only scored the greatest goal in World Cup history also in seria A history against Juventus with an impossible free kick inside the box also scored ground level headers long range goals vs Verona and Lazio from corner kick his own half solo goals passing the greatest defenders in history Before you compare Messi to Diego do your own home work Im Italian and I grew up watching his magic and I heard people like Maldini Junior Baresi Ferri Bergomi Dunga saying all the same things : you just cant stop him hell find a way to go past you !!!D10S Ive achieved my lifetime dream to see his childhood house in villa fiorito BA a poor barrio but full of beautiful people I also went to his first house he bought as pro near Argentina junior stadium Diego forever,Against
What is n.2??,Neutral
What is n.2??,Neutral
I remember watching gosl #5 live. I think it was the WC in LA. Soon after that game Maradona was banned as he tested positive. 1984? Not sure.,Against
I remember watching gosl #5 live. I think it was the WC in LA. Soon after that game Maradona was banned as he tested positive. 1984? Not sure.,Against
"All his skills and mastery of football ended the day he cheated with a hand assisted goal against England, think what the world would have thought of him had he said to the ref, no it was a foul, but he chose not to, there for he is a cheat, nothing more.",Against
"All his skills and mastery of football ended the day he cheated with a hand assisted goal against England, think what the world would have thought of him had he said to the ref, no it was a foul, but he chose not to, there for he is a cheat, nothing more.",Against
king of goats,Against
king of goats,Against
Number 20 should be higher,Favor
Number 20 should be higher,Favor
"I dont care Messi won World Cup, Maradona is the greatest of all time",Against
"I dont care Messi won World Cup, Maradona is the greatest of all time",Against
There has never been a more overrated player ... and he's always been a cheater. Pure underclass.,Against
There has never been a more overrated player ... and he's always been a cheater. Pure underclass.,Against
"Greatest player ever can be said if his/her attidude is good, never get crime, and drugs, specially in sport never drink alcohol (or don't expossed on public). That's good respect, except ""MARADONA""",Favor
"Greatest player ever can be said if his/her attidude is good, never get crime, and drugs, specially in sport never drink alcohol (or don't expossed on public). That's good respect, except ""MARADONA""",Against
Messi is better than Maradona,Favor
Messi is better than Maradona,Favor
#6 he got kicked in the face and still scored a beautiful goal,Favor
#6 he got kicked in the face and still scored a beautiful goal,Favor
Maradona was a one man wrecking machine. Legend.,Favor
Maradona was a one man wrecking machine. Legend.,Favor
Agree all.... I'm 44 year's old..... he's the best I've ever seen,Favor
Agree all.... I'm 44 year's old..... he's the best I've ever seen,Favor
The music makes it unbearable,Against
The music makes it unbearable,Against
Santa Maradona the best,Favor
Santa Maradona the best,Favor
Great player 20 goals and not one scored with his head,Against
Great player 20 goals and not one scored with his head,Against
BLOODY HELL SO MUCH GOOD TRULY AMAZING FOOTBALL PLAYER,Favor
BLOODY HELL SO MUCH GOOD TRULY AMAZING FOOTBALL PLAYER,Favor
There will never be another Maradona,Against
There will never be another Maradona,Against
U will never know how many maradonnas have earned with the goals,Against
U will never know how many maradonnas have earned with the goals,Against
The WORST cheat in the history of world football.,Against
The WORST cheat in the history of world football.,Against
never power shots the ball in its always precise placing off the ball,Against
never power shots the ball in its always precise placing off the ball,Against
I miss him,Favor
I miss him,Favor
I miss him,Favor
I miss him,Favor
The greatest footballer of all time,Favor
The greatest footballer of all time,Favor
Best of the best,Favor
Best of the best,Favor
1:45 ronaldo in the ad,Favor
1:45 ronaldo in the ad,Favor
04:31 Ask Messi to score a goal like that...not even in his dreams would he succeed.He was like Federer of football,Against
04:31 Ask Messi to score a goal like that...not even in his dreams would he succeed.He was like Federer of football,Against
Don Diego rip,Against
Don Diego rip,Against
Diego Amando Maradona ....not from Earth,Against
Diego Amando Maradona ....not from Earth,Against
Diego Armando Maradona is the best,Favor
Diego Armando Maradona is the best,Favor
Shouldnt have put the handball in,Against
Shouldnt have put the handball in,Against
I saw him play in argentina and before he became world famous i thought he was a magician on a ball,Favor
I saw him play in argentina and before he became world famous i thought he was a magician on a ball,Favor
I can say i have never ever seen a man so at one with a football ever in my life .People call him the god of football but actually he calls the football god the ulmighty,Favor
I can say i have never ever seen a man so at one with a football ever in my life .People call him the god of football but actually he calls the football god the ulmighty,Favor
The audacity to put a goal scored with the hand as a top goal,Against
The audacity to put a goal scored with the hand as a top goal,Against
If you use the word legendary and Maradona for your video please be careful about your selection. About half of these goals didnt belong here as he has many better - unique - goals that are not in this video.,Against
If you use the word legendary and Maradona for your video please be careful about your selection. About half of these goals didnt belong here as he has many better - unique - goals that are not in this video.,Against
"A few years ago myself and a few workmates were discussing the Top 3 greatest players of all time. Messi, Cruyff, Ronaldo, Best, Zidane, Pele: all the usual names came up, it was just a case of putting them in the right order.The results were:1. Maradona.2. Maradona.3. Maradona.",Against
"A few years ago myself and a few workmates were discussing the Top 3 greatest players of all time. Messi, Cruyff, Ronaldo, Best, Zidane, Pele: all the usual names came up, it was just a case of putting them in the right order.The results were:1. Maradona.2. Maradona.3. Maradona.",Against
All I can say is that all respect to lioel Messi and christiano ronaldo back in the day the rules of football has changed alot if players go down to easey they get free kicks and penalties when Diego Maradona played it was full contact football that's why in my eyes he is regarded the best player in the world and also up in heaven where a true great belongs god bless you're soul brother,Against
All I can say is that all respect to lioel Messi and christiano ronaldo back in the day the rules of football has changed alot if players go down to easey they get free kicks and penalties when Diego Maradona played it was full contact football that's why in my eyes he is regarded the best player in the world and also up in heaven where a true great belongs god bless you're soul brother,Against
The best all of time,Favor
The best all of time,Favor
So his 2nd best goal ever was the one he scored with his hand? What's the point of including that here?,Neutral
The beginning of goat debate,Favor
The beginning of goat debate,Favor
WHAT HAPPENED TO 2,Favor
WHAT HAPPENED TO 2,Favor
For me batistuta is the best Argentina striker of all time,Favor
For me batistuta is the best Argentina striker of all time,Favor
I really wonder if people will think of players like Xavi Iniesta and Busquets like Maradona's teammates in the future. Sometimes it looks like his teammates are doing nothing and Maradona can do it alone,Against
I really wonder if people will think of players like Xavi Iniesta and Busquets like Maradona's teammates in the future. Sometimes it looks like his teammates are doing nothing and Maradona can do it alone,Against
"Now that Im seeing this, Messi is really the greatest of all time. Goalies back then were not good at all",Favor
"Now that Im seeing this, Messi is really the greatest of all time. Goalies back then were not good at all",Favor
It is very difficult to choose the greatest player of all time between Maradona and Messi. Though Messi scored some difficult goals but in sense of vision Maradona was phenomenal. The pitches of those time were so deadly and the defender could murder the soft players.,Against
It is very difficult to choose the greatest player of all time between Maradona and Messi. Though Messi scored some difficult goals but in sense of vision Maradona was phenomenal. The pitches of those time were so deadly and the defender could murder the soft players.,Against
"Ball on a string, wow such a hot to watch. He is the goat!",Favor
"Ball on a string, wow such a hot to watch. He is the goat!",Favor
"Maradona exploded the myth, ""it's a team game"" - He was the team ....Incomparable .. Immortal",Favor
"Maradona exploded the myth, ""it's a team game"" - He was the team ....Incomparable .. Immortal",Favor
Chip goal legend,Neutral
Chip goal legend,Neutral
Messi and maradonna both left footed and right handed,Neutral
Messi and maradonna both left footed and right handed,Neutral
Waaaao maradona will never b again,Against
Waaaao maradona will never b again,Against
"Maradona was the one and only God of football,,,Maradona was a gift for the human race !!I was honoured to watch Maradona playing football at my young age !!",Favor
"Maradona was the one and only God of football,,,Maradona was a gift for the human race !!I was honoured to watch Maradona playing football at my young age !!",Favor
"#13 1:50 vs Red Star Belgrade, the whole stadium applauded Diego after that one.",Favor
"#13 1:50 vs Red Star Belgrade, the whole stadium applauded Diego after that one.",Favor
"Wherever you are , you always will be the best footballer of all time . Absolute genius",Favor
"Wherever you are , you always will be the best footballer of all time . Absolute genius",Favor
"Maradona my man...the greatest,the magician...the God",Favor
"Maradona my man...the greatest,the magician...the God",Favor
"Diego Armando Maradona is unique, the BEST football player ever!!!",Favor
"Diego Armando Maradona is unique, the BEST football player ever!!!",Favor
What a legend....current plates still trying ro catch up to him... may he rest in peace... forever the best soccer player,Favor
What a legend....current plates still trying ro catch up to him... may he rest in peace... forever the best soccer player,Favor
Had the luck to see this Extra Terrestrial GOD training in Naples mud pit training facilities called Soccavo had the pleasure of seeing this out of the world human being display is class to the goths of Italian football and is Brazilian team mates. Everyone at the end of the team training session was seating in a circle looking at him taking free kicks with a fake barrier 1 on 1 with Naples goal keeper I was 8 years old Im 47 now Ive lived in 4 continents and nothing is ever come closed to that. When soccer players were playing the game he was running the game at 2 time the speed of the rest of the player on the field. Pure delight petty drugs took the better out of him. Rest in peace my legend,Favor
Had the luck to see this Extra Terrestrial GOD training in Naples mud pit training facilities called Soccavo had the pleasure of seeing this out of the world human being display is class to the goths of Italian football and is Brazilian team mates. Everyone at the end of the team training session was seating in a circle looking at him taking free kicks with a fake barrier 1 on 1 with Naples goal keeper I was 8 years old Im 47 now Ive lived in 4 continents and nothing is ever come closed to that. When soccer players were playing the game he was running the game at 2 time the speed of the rest of the player on the field. Pure delight petty drugs took the better out of him. Rest in peace my legend,Favor
The legend. R.i.p,Against
The legend. R.i.p,Against
Didnt he make a 13m curved penalty kick once?I was a child and watched it live.. perhaps between 1985-90.,Neutral
Didnt he make a 13m curved penalty kick once?I was a child and watched it live.. perhaps between 1985-90.,Neutral
"Pele was the best. Maradona, meh.",Favor
"Pele was the best. Maradona, meh.",Favor
"I think most people will agree that Maradona and Messi are 2 of the greatest all-round players to ever play the game, regardless of who's considered to be better .",Neutral
"I think most people will agree that Maradona and Messi are 2 of the greatest all-round players to ever play the game, regardless of who's considered to be better .",Neutral
Maradona was the proof that one man can make a team,Favor
Maradona was the proof that one man can make a team,Favor
Dude was possessed,Against
Dude was possessed,Against
Nearly 20 goals,Favor
Nearly 20 goals,Favor
Very few players shit all over Messi.,Against
Very few players shit all over Messi.,Against
Luis Suarez pt1,Against
Luis Suarez pt1,Favor
Messi 1 maradona 2,Against
Messi 1 maradona 2,Against
Maradona and Robbie fowler = saurez,Against
Maradona and Robbie fowler = saurez,Against
Only maradona and ali karmi,Favor
Only maradona and ali karmi,Favor
He had four good years in his whole career! Overrated as fuck!,Against
He had four good years in his whole career! Overrated as fuck!,Against
Live. Diego Maradona Legend.,Favor
Live. Diego Maradona Legend.,Favor
Magic with only one foot.,Against
Magic with only one foot.,Against
Goal #3. Why would you include that?,Neutral
Goal #3. Why would you include that?,Neutral
Only R10 came close. Thanks Maradona for existing in my lifetime!!,Favor
Only R10 came close. Thanks Maradona for existing in my lifetime!!,Favor
He is Football!!!,Favor
He is Football!!!,Favor
People who played their natural Game remained unbeaten even today,Favor
