Unnamed: 0,Comment,Label,Llama3.1 Not Fine Tuned output,Llama3.1 Fine Tuned output,labels_to_numbers_original,labels_to_numbers (Fine Tuned),labels_to_numbers (Not Fine Tuned)
7897,This match still gives me goosebumps to this day,Irrelevant,Favor,Irrelevant,3,3,0
5491,Whats suarezes fault. Ghana has just got a massive skill issue,Neutral,Against,Neutral,2,2,1
908,"The free kick before should have not been giving by Olegario Benquerença...check the full game and tell me otherwise., Fucile was like 2 metres away from the ghanian player..",Neutral,Against,Irrelevant,2,3,1
8094,Im from Uruguay I LOVE THIS MATCH!Uruguay is so strong I love it so much   TEAM URUGUAY🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾🇺🇾,Irrelevant,Favor,Irrelevant,3,3,0
3441,"depending on your nationality, this is the highest felony or the ultimate act of patriotism and sacrifice",Favor,Against,Neutral,0,2,1
8563,4:08 can you all see indian flag there ???,Irrelevant,Neutral,Irrelevant,3,3,2
3902,"@LosAngelesZombie
But we 3 fans breake the asses of all africa",Irrelevant,Against,Irrelevant,3,3,1
11040,"your saying you wouldn't give yourself up for just a slim chance that your country might make it through. He did it because he loves his country. he had alot to lose, his credibility, a fine, a ban but he put that all away just to get uruguay a slim chance of going through",Favor,Favor,Favor,0,0,0
9188,Ghana had a lot of pressure on them being the last African nation in the competition. They were seen as Africa's last hope.,Irrelevant,Against,Irrelevant,3,3,1
4149,"@globex55 Neverlands? What players do Uruguay have =) Please tell me. Other than Forlan who is a spectacular striker. Netherlands produced great players like Cryuff, Van Nistelrooy Bronckhorst. Who does Uruguay have? uruguay also have failed to win a modern world cup. 1930 was the first world cup when it was starting out. So it was easy for Uruguay. 1950 though..",Irrelevant,Against,Irrelevant,3,3,1
6624,"worst narrator ever,on one of the best games of wc hes putting me to sleep",Irrelevant,Against,Irrelevant,3,3,1
8600,"""Africa Strikes, Ghana Strikes"" 1:51",Favor,Favor,Irrelevant,0,3,0
7207,"3:39
Suarez: Who, Me? 😂",Neutral,Neutral,Neutral,2,2,2
8854,Abreu best penalty ever,Irrelevant,Favor,Irrelevant,3,3,0
4696,Who's here after Suarez announced his retirement?,Irrelevant,Against,Irrelevant,3,3,1
9514,when suarez still handshake with another skin,Irrelevant,Against,Irrelevant,3,3,1
10773,Why was it such a big deal that he celebrated Gyan missing? HIS COUNTRY STILL GOT TO PLAY IN THE WORLD CUP FFS,Favor,Against,Favor,0,0,1
6364,HISTORY REPEATING ITSELF😂😂,Neutral,Neutral,Irrelevant,2,3,2
8271,Diego FORLAN the world best player in2010,Irrelevant,Favor,Irrelevant,3,3,0
7377,"3:28 seconds, 
Playback speed= 0.25
Proof of Luis Suarez cheatin",Against,Against,Against,1,1,1
9037,"I remember this game like it was yesterday and I am not from Ghana but I literally cried with them. Uruguay played well and yes they were ferocious to the very end and therefore fair to be in the semifinals, but it was painful to watch the africans go too!",Neutral,Favor,Neutral,2,2,0
10517,"la verdad es el partido que pasaron todo tipo de emociones, desde el penal del minuto 120 hasta que el loco la picó
el mejor partido de la historia de los mundiales me parece",Neutral,Favor,Neutral,2,2,0
4112,Well done Uruguay,Favor,Favor,Favor,0,0,0
11110,well your a mug then,Irrelevant,Against,Irrelevant,3,3,1
3284,@andrewlawrence2209 are you an idiot? what goal? you can't give a goal that didn't happen.,Irrelevant,Against,Irrelevant,3,3,1
4525,I would do the same if I was in his position. Anyone would do the same,Neutral,Neutral,Favor,2,0,2
14,Suarez is such a g 😂,Irrelevant,Against,Favor,3,0,1
7237,"The tightfisted bedroom contrastingly unfasten because violet retrospectively walk midst a unarmed kitchen. rapid, busy map",Irrelevant,Neutral,Irrelevant,3,3,2
2483,No! Nonononono NO! I WANT THE AFRICA GUYS TO WIN NOT URUGUAY.,Against,Favor,Against,1,1,0
11474,They did get the W against South Korea.,Irrelevant,Favor,Irrelevant,3,3,0
11305,0:19..who me?🤣🤣🤣🤣 awsome!,Irrelevant,Neutral,Irrelevant,3,3,2
518,Who's here after Suarez wept today??..Karma best served,Against,Against,Against,1,1,1
8354,Unsportsmanlike by Suarez,Against,Against,Against,1,1,1
4950,why should he?,Favor,Against,Neutral,0,2,1
10698,"anyone bashing Suarez for what he did knows absolutely nothing about football, NOTHING AT ALL; Ghana players were happy after the red card and the penalty were given, and no one would remember Suarez if Gyan scored the damm penalty; but history is too stronk in these instances.",Favor,Favor,Favor,0,0,0
10260,"a nail biting match for sure,i was supporting urugway dat tym,ghana gave a superb competion..",Irrelevant,Against,Irrelevant,3,3,1
6073,2010 world will remain one of the best world cup ever.,Irrelevant,Favor,Irrelevant,3,3,0
8613,Both teams were gonna get wacked eitherway,Irrelevant,Neutral,Irrelevant,3,3,2
3111,Do you agree with Suarez?,Neutral,Favor,Neutral,2,2,0
3737,"@reymysterio145
Morally wrong¡¡  my god You don't know anything about football as I see.  Who is everyone? You? Who says that? You? Ha hahahahah Suarez was punished and gyan failed his penalty, learn the rules and do not cry. ghana and africans were supported by the mass media, Blatter, Fifa, and dirty Fifa business support...do not cry anymore. It was the first time the small good one defeated the evil",Against,Against,Against,1,1,1
8253,"As an asian, Even i can feel the pain of Ghana and Africa",Neutral,Favor,Irrelevant,2,3,0
562,And look who's crying now,Neutral,Against,Against,2,1,1
11337,"It wasn't cheating , he was red carded and sent out fair play , it's football players give thier all",Favor,Favor,Favor,0,0,0
1272,African footballer = 0 mentality,Neutral,Against,Irrelevant,2,3,1
10584,"It was legal, but it still sucks. I still hate Suarez for what he did, but he was right, and I equally hate out new captain, Gyan for his failure to convert that PK. So many chances for Ghana and we blew it. ",Neutral,Against,Neutral,2,2,1
5993,BRUH WE EATING HIM UP TMR AHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,Irrelevant,Against,Irrelevant,3,3,1
7305,Lol what a suarez,Neutral,Against,Favor,2,0,1
3703,"@addicted2cod4
Just a joke. Peace and prosperity",Irrelevant,Neutral,Irrelevant,3,3,2
487,Aye looking back..Suarez did what he had to do and lets face it we would too if it came down to that.,Favor,Favor,Favor,0,0,0
2389,It was not competitive impulse. It was cheating,Against,Against,Against,1,1,1
2087,He’s an embarrassment,Against,Against,Against,1,1,1
6200,He can switch as goal keeper mid game lol,Irrelevant,Neutral,Neutral,3,2,2
214,Suraez will never get forgiven for this,Against,Against,Against,1,1,1
2380,Will never forget that Forlan goal insane Ghana deserved the win they had done everything right since the first game,Irrelevant,Against,Irrelevant,3,3,1
5493,Hand of the devil😂😂😂,Favor,Against,Favor,0,0,1
6950,Jusqu’aujourd’hui je déteste ce mec,Against,Against,Against,1,1,1
2057,One of the most disgraceful days in the history of the sport. And Suarez is by far one of the biggest douches to play the game.,Against,Against,Against,1,1,1
457,"Funny how Luis Suarez was demoinised for this, yet, the Dutch led by De Jong committed some of the most disgustingly grotesque acts of negligent dirty foul play in the history of WC football have vastly remained anonymous. Just shows you how far FIFA will go to protect their own interests.",Against,Against,Neutral,1,2,1
7276,"Ghana was so close. I remember feeling really bad for the penalty kicker of Ghana who had the chance to make it 2-1... Imagine the weight on his shoulder he must have felt before the kick, and the guilt after the kick... Poor guy.",Irrelevant,Neutral,Irrelevant,3,3,2
6349,Came here in 2022 to watch Suarez's amazing goalkeeping performance😅,Neutral,Against,Irrelevant,2,3,1
4711,I WILL DO THAT FOR MY COUNTRY... I GOT PUNISHMENT...  I GOT RED CARD PLUS GHANA GOT PENALTY... NOW... FOR A BIG MOMENT... YOUR OPPORTUNITY... YOU BIGGEST MOMENT ... TO QUALIFY TO THE NEXT ROUND... YOU NEED TO SCORE A PENALTY AND ADVANCED TO THE NEXT STAGE... YOU SCORE THE PENALTY ???,Favor,Favor,Favor,0,0,0
7277,Suarez  being Suarez acted shocked when the refree shows him the red card.,Neutral,Against,Neutral,2,2,1
245,"What's funny is they never address the ref decisions like the ""foul"" that derived in that centro.. si, no sé decir ""centro"" en inglés, dejame(?

Also, make a video about van Bommel's performance that WC please. The nerrrrvvvvvv",Neutral,Neutral,Irrelevant,2,3,2
7033,Todos en latinoamérica sabíamos que Abreu iba a picar el penal,Irrelevant,Against,Irrelevant,3,3,1
4075,"@tikizzia1981 Oh in my country we say ""PUT UP OR SHUT THE FUCK UP"".",Irrelevant,Against,Irrelevant,3,3,1
7212,"Forlan, Suarez, Cavani,

What a forward Uruguay had!!",Irrelevant,Favor,Irrelevant,3,3,0
2199,"Its not cheating, its dark arts",Favor,Against,Favor,0,0,1
11454,"The worst thing is, that counting the red card and the penalty, it was the game theory right thing to do. It was wrong on so many other levels, but perhaps this means there should be harder punishments for this kind of thing not to pay off. ",Neutral,Against,Neutral,2,2,1
4561,You know what these highlights need? Some techno music. Said no fucking one ever.,Irrelevant,Against,Irrelevant,3,3,1
5613,I mean he did nothing wrong. He block the shot and was penalized for it,Favor,Favor,Neutral,0,2,0
4320,Lol..''Urugay'' :P,Irrelevant,Neutral,Irrelevant,3,3,2
8670,So many crazy goals in this world cup,Irrelevant,Neutral,Irrelevant,3,3,2
510,they have a great history of attackers amazing forlan cavani saurez and maybe the city one next,Irrelevant,Favor,Irrelevant,3,3,0
4366,people have seriously got to relax. If what Suarez did was so bad than they would've changed the rules automatically for soccer and FIFA. But they DIDN'T because it's happened before! If you don't watch soccer or even play soccer I don't know why you're even commenting when you clearly don't know what you're talking about. Ghana got a chance to win and they blew it so stop blaming it on Suarez he got what he supposed to get so just chill out people! ,Neutral,Against,Favor,2,0,1
7087,Well done Luis Suarez players r allowed to do fouls n he did ntg wrong n it was just a part of a game n he was playing for his country n just took a chance n even any player around the globe would had done the same for his country .,Favor,Favor,Favor,0,0,0
6562,"Master Suarez saved Uruguay that day, Genius.",Favor,Favor,Favor,0,0,0
6537,My guy said Africa scores and then corrected himself and said Ghana. 😂😂😂🤦🏻‍♂️,Irrelevant,Against,Irrelevant,3,3,1
10946,"Ghana robbed themselves by not missing 1 penalty, but 5 others",Irrelevant,Against,Neutral,3,2,1
8688,That's what i liked about the handball. You do anything to win. He did got red card but won the war in the end. No chances to ridicule ls or uruguay,Favor,Against,Favor,0,0,1
1413,Am I the only one that thinks this guys voice is odd,Irrelevant,Against,Irrelevant,3,3,1
4981,he could maybe apologize it the ref didn't see the handball and didn't give penalty and red card to Suarez but he is right he got punished and the penalty was given.,Neutral,Favor,Neutral,2,2,0
533,Legends back here,Neutral,Favor,Irrelevant,2,3,0
10727,"Uraguay's goalkeeper is pretty good 😁
",Irrelevant,Neutral,Irrelevant,3,3,2
5323,Can you say apologise for the players that you bit them like dog 🤩,Against,Against,Against,1,1,1
6830,Best day ever in Uruguay! We will never forget. Uruguay noma!!! 💙,Irrelevant,Favor,Irrelevant,3,3,0
2150,You mean MOMENT OF BRILLIANCE?,Favor,Favor,Favor,0,0,0
4077,@tikizzia1981 What language do you normally speak or what is your mother tongue?,Irrelevant,Neutral,Irrelevant,3,3,2
927,Cuando se premia al juego sucio,Against,Against,Against,1,1,1
11178,"everyone would have done what suarez did 

penalty cannot be certain but that goal could have made uruguay loose

nice quick action by suarez",Favor,Favor,Favor,0,0,0
4026,@bboyshuffler  JAJAJA you are the dumbass. Man are you Blindnes???,Irrelevant,Against,Irrelevant,3,3,1
3353,"@Andythrax
Wrong man, Suarez paid for his fault...   red card, penalty against his team and suspended for the next match. Do you know anything about football?",Against,Against,Neutral,1,2,1
1157,"Partido increíble, aún lo recuerdo cómo uno de los más emocionantes que he visto",Irrelevant,Favor,Irrelevant,3,3,0
2210,Of course it’s a red. Of course it’s a penalty. But it should be a hefty fine and long suspension too. You can’t have games decided like this,Against,Against,Neutral,1,2,1
10358,Still pissed 4 years later,Against,Against,Against,1,1,1
10579,Suarez is most hated guy in Africa,Irrelevant,Against,Against,3,1,1
4089,"@tikizzia1981 This video is my bases, its that simple in this video you can see Suarez cheat you can see him hit the ball which had reach the line and was going in away from the net. Your argument is without bases because everything you say is fabricated like Ghana fouling where do you see that in this video. In fact if you read the title of this video which is ""Handball by Suarez from Uruguay. Ghana VS Uruguay 2010 RED CARD "". How can you sit there and try to say its about Ghana Fouling out?",Against,Against,Against,1,1,1
8876,"FIFA must have lifetime banned Suarez for this,to play football.",Against,Against,Against,1,1,1
1457,"It's plays like this that make me wonder why there's no goaltending rule in soccer. If the defender handballs it in front of the net when they're not the goalkeeper, it should reward a point to the opposing team.",Neutral,Against,Neutral,2,2,1
5900,And now they're both not trough,Irrelevant,Neutral,Irrelevant,3,3,2
7846,Uruguay last plenty taker is the most confident footballer ever,Irrelevant,Against,Irrelevant,3,3,1
101,"That goal should have been awarded + a penalty on top of the player being shown a red card. You simply cannot, should not cheat and win.",Against,Against,Against,1,1,1
5123,Its just simple. Suarej💓💓💓,Favor,Favor,Favor,0,0,0
6253,Ghana enjoyed Uruguay exit this world cup only because of this handball of Luis Suarez,Favor,Against,Against,0,1,1
3705,"@TheRafinia
WORST¡ Tierry Henry was not punished, Suarez was; that was the difference. There was the CHEAT",Against,Against,Against,1,1,1
10039,All the talk on the Suarez handball. Forlans free kick was a beauty.,Irrelevant,Against,Irrelevant,3,3,1
1470,THATBWAS A LONG SHOT,Irrelevant,Against,Irrelevant,3,3,1
624,I really hate this win for Uruguay it was wrong this is not how you honor you country. In my opinion Suarez did wrong shame on him,Against,Against,Against,1,1,1
5079,This is why we Ghanaians don't like Suarez,Against,Against,Against,1,1,1
8169,Haha I’m glad Uruguay lost to both Netherlands and Germany they deserved it,Irrelevant,Against,Irrelevant,3,3,1
6578,This match!!!!!!!! This freaking match!!!!!🤣🤣🤣🤣,Irrelevant,Against,Irrelevant,3,3,1
3297,"@RiksK15
Just one thing my brave friend who hides your native country....  Where are you from? Nice way to comment... like a coward. I show my nationality, you hide it",Irrelevant,Against,Irrelevant,3,3,1
9849,his friend should've gotten a yellow for attempting to go for that ball with his hands.,Neutral,Against,Neutral,2,2,1
10563,Uruguay should have won during regular time. Ghana was quite fortunate.,Neutral,Against,Neutral,2,2,1
11278,"just not fair </3
",Against,Against,Against,1,1,1
7204,03:22 epic moment 🔥🔥🔥,Neutral,Favor,Irrelevant,2,3,0
1178,what's the name of the commentator?,Irrelevant,Neutral,Irrelevant,3,3,2
8929,That piece of zhit Suarez...,Against,Against,Against,1,1,1
6072,Kuado asamoah non 🥹🥹🥹,Irrelevant,Favor,Irrelevant,3,3,0
9866,wow. Ghana definitely deserved to win. Everyone hates cheaters.,Against,Favor,Against,1,1,0
11198,"suarez is the top goal scorer and has performed the best in the epl this season, he will win the player of the year award, if not then bale. But you saying Suarez is a disgrace? thats makes you look like a jzzookkee!!!!",Neutral,Against,Irrelevant,2,3,1
3994,:D:D:D:D:D:D:D,Irrelevant,Favor,Irrelevant,3,3,0
744,Sadly Gyan missed the penalty because of the wind otherwise Ghana would have won the worldcup,Irrelevant,Against,Irrelevant,3,3,1
5264,Karma is a boomerang 🔥,Neutral,Against,Neutral,2,2,1
8484,I’m not from Ghana but I’m really sad right now...,Irrelevant,Neutral,Irrelevant,3,3,2
4982,"That was an unfortunate thing.  The Ghanaian players should have celebrated a goal but they went on the referee to seek a penalty.  They were just not professional.  Asamoah gyan,  Appiah and the rest of the black stars players should be blamed not Suarez.  I am a Ghanaian but truth be told our players were at fault.",Against,Against,Against,1,1,1
3647,"@R32twinTrbo I'm Afircan but you must realize Uruguay's a small country also.. even if he was Brazilian it doesn't matter, the World Cup means so much to every player that participates.. I would have done what he did.. Anyone else with passion would to",Favor,Favor,Favor,0,0,0
1396,"He could have headed it easily, but what's he doing at the very back, while he should be at the front. Can't help but become a pure defender at that time.",Neutral,Against,Neutral,2,2,1
10823,"The only people in the world that actually hold respect for Suarez are Uruguayans, don't give me a crap excuse like, ""anyone would do that for their country""  .At the beginning of every game a flag is brought out onto the pitch that says, ""My game is fair play"", The meaning of this ""beautiful game"" is more than bringing results to your own country and about the reunion of people around the globe to enjoy this game in a friendly manner. Suarez doesn't represent this image very well in my opinion.",Against,Against,Against,1,1,1
5538,After this game Suarez face was sooo funny 😂,Irrelevant,Against,Irrelevant,3,3,1
7699,Look at Luis Suarez's reaction when Asamoah Gyan missed the penalty,Irrelevant,Against,Neutral,3,2,1
11097,2:24 OFFSIDE GHANA,Irrelevant,Against,Irrelevant,3,3,1
2319,Sounds like David Attenborough’s commentating🤣,Irrelevant,Neutral,Irrelevant,3,3,2
8900,"El foul ese nunca existió,el árbitro estaba re cerca de la jugada y lo cobró",Against,Against,Neutral,1,2,1
5312,Why would you apologize for a smart play which saved your world cup?,Favor,Favor,Favor,0,0,0
4653,You could tell if Suarez didn't handball it the other guy next to him would have,Neutral,Against,Neutral,2,2,1
9713,"Suarez did what he had to do and he got punished with a red card. Also, many people don't remember that Abreu (the guy that scored the last penalty to win the game for Uruguay) did not get what should have been a certain penalty in the first overtime half.",Neutral,Favor,Neutral,2,2,0
4420,wow lmfao there are so many red and yellow cards and just plain cheating in 0:09 seconds of this video its not even funny...,Irrelevant,Against,Irrelevant,3,3,1
1845,2:06 Neymar - Finally a worthy opponent,Irrelevant,Against,Irrelevant,3,3,1
3063,"nobody cares that.. why he missed the penalty opportunity?
everyone blame suarez😁... he is 100% sportsman",Favor,Favor,Favor,0,0,0
6909,It was the saddest night ever for all african nations,Irrelevant,Against,Irrelevant,3,3,1
4373,"the handball was not a cheating, because as long as there is a regulation that says what happens after you do a handball in soccer ,then they are allowed to do the handball considering the regulated punishment afterward",Neutral,Favor,Neutral,2,2,0
9491,what is the name of song at the very beginning?please someone reply me,Irrelevant,Neutral,Irrelevant,3,3,2
11274,EA Scripting at its finest ,Irrelevant,Against,Irrelevant,3,3,1
4067,@tikizzia1981 Your ridiculous on so many levels just keep replying because you know how to you don't actually say anything intelligible or worth debating. Scrambling your english only makes you  sound more confusing and invalid which you've been since the beginning to me and I try to be Christian but hypocrites like you make it hard when you call me out on stupid things nobody gives to shits about.,Irrelevant,Against,Irrelevant,3,3,1
10845,"posts saying Suarez denied the whole continent of Africa are foolish? Suarez took a calculated risk by using his hand and was punished to the full letter of the law by receiving a red card and being banned the next match and the ensuing penalty for gyan. it would be a reasonable argument had suarez gotten away with it, but he didn't. you want to know who denied the whole continent of Africa?...Asamoah Gyan for﻿ not putting away a sitter in front of him...still Suarez can be a prick though....",Neutral,Against,Neutral,2,2,1
8912,THE BEST WORLD CUP EVER,Irrelevant,Favor,Irrelevant,3,3,0
2301,"thats why i dont like suarez. he takes sportsmanship and flushes it down the toilet. (this was also the case, when he bit multiple players.)",Against,Against,Against,1,1,1
10722,How was it fair play ghana could have won and had gone through to the semi-finals if it wasnt for that cheat,Against,Against,Against,1,1,1
10389,Suarez- one of the biggest cheats in football,Against,Against,Against,1,1,1
3495,"@Rao665 I am immature, when I talk to someone far below me in strength I call them bitch.",Irrelevant,Against,Irrelevant,3,3,1
8641,"1er Spain
2e Netherland 
3e Germany 
4e Uruguay 
5e Brasil",Irrelevant,Favor,Irrelevant,3,3,0
3116,I agree with Karazn,Neutral,Favor,Neutral,2,2,0
8276,I hated Suarez in that match,Neutral,Against,Against,2,1,1
5114,"And karma got him now, he was crying like a baby",Against,Against,Against,1,1,1
7244,imo Suárez hand is the best play I've ever seen in football,Favor,Favor,Favor,0,0,0
749,"All poster in Ghana. 
""Suarez: wanted dead or alive""",Irrelevant,Against,Favor,3,0,1
11222,Much better than the final itself ,Irrelevant,Favor,Irrelevant,3,3,0
5371,"At the end of the day, yeah Ghana had the opportunity to score but didn’t and everybody in that situation would’ve done what Suarez did. But Ghana have all rights to still be pissed at him for it. Not like Suarez is innocent all of a sudden",Neutral,Against,Neutral,2,2,1
8240,Ghana it better than urg,Irrelevant,Favor,Irrelevant,3,3,0
3068,A hero and a villain both at the same time.. Hahaha..,Neutral,Against,Neutral,2,2,1
9878,"I admit, Suarez's save was smart! At least hr didnt bite anyone",Favor,Favor,Favor,0,0,0
9557,ghana is just unlucky,Irrelevant,Against,Irrelevant,3,3,1
7431,"“If they’re going to get a goal, they’re going to get it in the next 20 seconds”",Neutral,Against,Neutral,2,2,1
200,"Tbh, it's not his fault that they missed a penalty after that",Neutral,Neutral,Neutral,2,2,2
3132,The penalty was missed and Luis Suarez was too happy And then Uruguay went to Semi Finals👍👍,Favor,Favor,Favor,0,0,0
3562,"@magorem Exactly!! thank you, ive been saying that for ages, or similar to that. it was a certain goal, and a penalty is a major downgrade from a certain goal... they should have been able to award a penalty goal, like in rugby union how they award penalty tries. ",Neutral,Favor,Neutral,2,2,0
10721,"took me a month to get over that incident...Ghana were ever so close to making African History... shame really.
",Against,Against,Against,1,1,1
346,"Idk why are yall mad with suarez, sure what he did was illegal but got punished for his action and is not his fault ghana failed that penalty that could have made them advance with ease

Ghana had the chance to get the last laugh and blew it",Favor,Against,Favor,0,0,1
7614,So what's the big deal about everyone hating on Suarez? Isn't what he did extremely smart? Is it just like an unwritten rule that you never save it with your hands even as a last resort?,Favor,Against,Favor,0,0,1
7809,"Today the penalty would not be given, because it was offside when the keeper tries to punch it away. It deflects on the Ghana  player and goes to nummer 10 of Ghana. Who is offside",Irrelevant,Against,Irrelevant,3,3,1
7978,Jabulani was a nightmare for Goalkeepers,Irrelevant,Against,Irrelevant,3,3,1
9881,"Ghana can quite rightly feel just like the Dutch did in 74' and 78', bewildered and somehow cheated.",Against,Against,Against,1,1,1
10796,"really??? really?? its not the first time and it wasnt the last time that suarez did things like this and thats unfair for ghana because they would have won if he wouldnt have been there with his hand,l in my opinion if i would have been ref i would have given the goal to ghana because it was obvious that it would have been a goal
",Favor,Against,Against,0,1,1
11456,"after gyan missed it not a single ghana player stepped up with confidence. yes suarez is a shit asshole but gyan just of thank the shot and there for he missed it. he should of picked where he was gonna shoot and just take, dont think of anything else. instead it looked like he changed his mind at the last second and over thank it in the end resulting in the rat celebrating. dont worry italys gonna kick urugauys ass. and ghana groups gonna finish germany 5 ghana 5 portugal 4 usa 1",Neutral,Against,Irrelevant,2,3,1
2813,"Miss vubuzela ⚽️⚽️
Fan from Calcutta India",Irrelevant,Against,Irrelevant,3,3,1
7282,Uruguay is a dirty team,Against,Against,Against,1,1,1
4043,"@Dougworth
uruguay did not cheat, Suarez broke the rules and was punished. Gyan is the CHEATER, HE DIVED IN THE LAST MINUTE SIMULATING A FOUL, AS GHANA PLAYERS DID AGAINST USA, AND OTHERS",Against,Against,Against,1,1,1
673,Win at all costs? NO! HE'S A PLAYER WHO'S A PUNK WITH NO HONOR HE'S JUST LIKE NEYMAR,Against,Against,Against,1,1,1
8500,Funny to read Europeans that made their wealth on Africa's resources claiming justice for Ghana in football.,Irrelevant,Against,Irrelevant,3,3,1
8674,Crazy how at 4:03 all the vuvuzelas stopped being played all at once.,Irrelevant,Neutral,Irrelevant,3,3,2
7315,FERNANDO MUSLERA IS IN THE TOP 10 BEST GOALKEEPERS IN THE WORLD,Irrelevant,Favor,Irrelevant,3,3,0
1121,The most heartbreaking moment of all time for the African fans in the world Cup....,Irrelevant,Against,Irrelevant,3,3,1
